ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade
51,2024-05-02,710,Headset,Áudio,1800.61,1
52,2024-01-29,631,Mouse,Periféricos,323.14,4
53,2024-07-22,445,Monitor,Hardware,4086.0,5
54,2024-01-19,170,Monitor,Hardware,4464.03,3
55,2024-05-17,162,Teclado,Periféricos,3312.24,2
56,2024-08-20,886,Notebook,Hardware,2857.28,2
57,2024-11-08,217,Notebook,Hardware,542.69,1
58,2024-07-13,127,Monitor,Hardware,3559.93,4
59,2024-05-14,702,Teclado,Periféricos,3869.8,5
60,2024-10-18,533,Mouse,Periféricos,1757.46,3
61,2024-07-04,403,Monitor,Hardware,1246.43,4
62,2024-11-23,901,Monitor,Hardware,4141.05,3
63,2024-04-03,614,Notebook,Hardware,4949.54,1
64,2024-02-29,660,Mouse,Periféricos,2881.11,1
65,2024-11-10,121,Headset,Áudio,4916.42,3
66,2024-06-27,519,Mouse,Periféricos,1753.98,2
67,2024-11-13,979,Monitor,Hardware,898.86,5
68,2024-02-27,379,Notebook,Hardware,3913.03,4
69,2024-02-13,308,Teclado,Periféricos,4476.54,5
70,2024-03-17,711,Mouse,Periféricos,3896.62,4
71,2024-07-13,271,Teclado,Periféricos,2529.67,3
72,2024-05-29,511,Monitor,Hardware,203.28,5
73,2024-02-16,315,Mouse,Periféricos,1469.38,4
74,2024-09-23,847,Mouse,Periféricos,2065.4,5
75,2024-09-26,446,Headset,Áudio,2588.22,2
76,2024-05-20,562,Notebook,Hardware,4054.25,2
77,2024-04-15,347,Monitor,Hardware,4901.6,1
78,2024-03-07,760,Mouse,Periféricos,3661.01,2
79,2024-07-07,773,Notebook,Hardware,2251.65,1
80,2024-03-08,412,Headset,Áudio,4302.86,5
81,2024-03-10,557,Headset,Áudio,3010.1,2
82,2024-10-30,572,Headset,Áudio,4140.3,4
83,2024-09-13,415,Teclado,Periféricos,2048.35,3
84,2024-01-12,375,Mouse,Periféricos,1083.81,4
85,2024-09-13,36,Headset,Áudio,4095.11,1
86,2024-02-04,462,Headset,Áudio,3254.32,4
87,2024-04-30,557,Headset,Áudio,1694.85,2
88,2024-12-24,853,Monitor,Hardware,554.85,3
89,2024-03-13,242,Teclado,Periféricos,3127.71,5
90,2024-04-02,430,Monitor,Hardware,410.95,2
91,2024-08-22,217,Headset,Áudio,668.09,5
92,2024-07-01,609,Notebook,Hardware,2636.29,1
93,2024-04-22,302,Headset,Áudio,3443.18,4
94,2024-08-17,107,Teclado,Periféricos,4098.77,1
95,2024-09-16,313,Mouse,Periféricos,286.34,2
96,2024-02-08,584,Monitor,Hardware,689.88,4
97,2024-05-24,617,Teclado,Periféricos,2545.84,2
98,2024-12-05,817,Mouse,Periféricos,96.81,4
99,2024-08-09,42,Mouse,Periféricos,2997.82,4
100,2024-09-21,669,Teclado,Periféricos,3017.15,2
101,2024-08-30,9,Headset,Áudio,3326.57,2
102,2024-06-05,207,Teclado,Periféricos,1421.21,2
103,2024-01-18,441,Headset,Áudio,3119.43,4
104,2024-10-28,609,Monitor,Hardware,721.67,2
105,2024-11-23,770,Monitor,Hardware,3688.78,2
106,2024-11-17,122,Teclado,Periféricos,163.63,1
107,2024-05-08,933,Monitor,Hardware,4660.97,4
108,2024-12-20,616,Mouse,Periféricos,2934.47,1
109,2024-07-07,48,Teclado,Periféricos,2751.59,5
110,2024-01-28,27,Mouse,Periféricos,4557.72,4
111,2024-05-13,690,Headset,Áudio,3528.28,5
112,2024-11-19,686,Monitor,Hardware,4306.97,1
113,2024-05-27,481,Teclado,Periféricos,984.96,5
114,2024-12-09,576,Headset,Áudio,4179.47,1
115,2024-01-20,127,Notebook,Hardware,944.56,1
116,2024-12-18,528,Headset,Áudio,3933.39,1
117,2024-02-22,813,Headset,Áudio,2691.55,4
118,2024-08-14,938,Monitor,Hardware,3056.48,5
119,2024-10-15,926,Notebook,Hardware,1502.95,5
120,2024-02-25,308,Monitor,Hardware,424.52,1
121,2024-11-24,991,Mouse,Periféricos,372.95,3
122,2024-08-06,108,Mouse,Periféricos,2059.15,4
123,2024-03-22,422,Teclado,Periféricos,4977.05,3
124,2024-01-01,514,Headset,Áudio,3324.39,1
125,2024-09-23,994,Headset,Áudio,110.92,2
126,2024-11-20,208,Mouse,Periféricos,1565.29,5
127,2024-03-18,245,Monitor,Hardware,1669.44,3
128,2024-03-30,8,Monitor,Hardware,1707.77,5
129,2024-10-06,576,Monitor,Hardware,3329.38,3
130,2024-12-16,833,Monitor,Hardware,4125.37,4
131,2024-04-02,571,Headset,Áudio,3448.53,1
132,2024-11-06,736,Headset,Áudio,1094.86,5
133,2024-08-01,774,Mouse,Periféricos,2050.43,2
134,2024-04-09,836,Headset,Áudio,4989.28,2
135,2024-08-11,356,Mouse,Periféricos,1761.53,5
136,2024-11-25,952,Monitor,Hardware,182.6,5
137,2024-04-22,476,Mouse,Periféricos,2959.49,1
138,2024-02-10,781,Headset,Áudio,2669.23,5
139,2024-10-06,548,Mouse,Periféricos,1827.86,1
140,2024-09-24,668,Monitor,Hardware,629.86,3
141,2024-08-23,564,Headset,Áudio,2269.95,2
142,2024-05-29,297,Monitor,Hardware,3052.1,2
143,2024-08-07,414,Headset,Áudio,2067.05,1
144,2024-12-23,855,Monitor,Hardware,3326.17,4
145,2024-11-24,171,Teclado,Periféricos,3961.94,4
146,2024-09-08,839,Monitor,Hardware,743.04,2
147,2024-06-24,764,Notebook,Hardware,3445.22,3
148,2024-04-26,201,Notebook,Hardware,1745.31,5
149,2024-05-20,701,Mouse,Periféricos,3436.94,3
150,2024-07-17,2,Headset,Áudio,1545.49,1
151,2024-05-03,313,Notebook,Hardware,3116.3,4
152,2024-01-21,596,Monitor,Hardware,3989.96,3
153,2024-10-28,844,Mouse,Periféricos,2815.78,1
154,2024-12-07,802,Notebook,Hardware,4771.12,5
155,2024-09-01,464,Mouse,Periféricos,273.6,1
156,2024-06-26,606,Teclado,Periféricos,605.62,3
157,2024-12-18,375,Mouse,Periféricos,150.33,1
158,2024-01-29,23,Teclado,Periféricos,793.35,2
159,2024-01-05,691,Monitor,Hardware,2257.75,5
160,2024-12-25,998,Monitor,Hardware,476.07,5
161,2024-02-08,657,Notebook,Hardware,1793.96,5
162,2024-01-18,880,Teclado,Periféricos,4415.13,5
163,2024-08-06,807,Headset,Áudio,2926.09,5
164,2024-06-18,527,Headset,Áudio,3778.9,4
165,2024-02-27,93,Notebook,Hardware,680.98,1
166,2024-06-30,903,Notebook,Hardware,2946.57,2
167,2024-08-24,547,Headset,Áudio,831.91,5
168,2024-07-26,539,Headset,Áudio,4905.54,1
169,2024-02-08,886,Mouse,Periféricos,1129.15,4
170,2024-05-18,471,Headset,Áudio,4607.1,5
171,2024-10-16,896,Notebook,Hardware,2369.48,4
172,2024-10-03,927,Notebook,Hardware,2944.35,4
173,2024-07-26,383,Monitor,Hardware,4253.69,1
174,2024-12-19,464,Monitor,Hardware,2456.3,4
175,2024-12-20,969,Headset,Áudio,3660.4,2
176,2024-10-10,707,Monitor,Hardware,2513.15,1
177,2024-02-28,375,Teclado,Periféricos,153.86,1
178,2024-05-07,998,Headset,Áudio,2520.52,2
179,2024-06-19,548,Mouse,Periféricos,3386.8,2
180,2024-02-19,71,Headset,Áudio,741.75,1
181,2024-09-27,664,Notebook,Hardware,1182.1,4
182,2024-01-29,379,Monitor,Hardware,1293.8,3
183,2024-09-27,374,Monitor,Hardware,3835.68,4
184,2024-02-11,80,Monitor,Hardware,1982.14,3
185,2024-05-02,197,Mouse,Periféricos,4423.65,5
186,2024-07-20,579,Mouse,Periféricos,3619.79,4
187,2024-11-14,418,Headset,Áudio,1659.54,1
188,2024-12-01,976,Headset,Áudio,2341.3,5
189,2024-05-10,243,Teclado,Periféricos,136.78,2
190,2024-01-14,739,Notebook,Hardware,3431.28,2
191,2024-07-05,57,Headset,Áudio,1904.55,2
192,2024-03-11,653,Mouse,Periféricos,2311.89,3
193,2024-03-01,31,Mouse,Periféricos,403.12,1
194,2024-06-08,424,Teclado,Periféricos,2503.9,2
195,2024-06-19,112,Teclado,Periféricos,2184.21,2
196,2024-03-14,602,Headset,Áudio,4473.12,1
197,2024-06-22,313,Notebook,Hardware,900.62,2
198,2024-07-11,331,Teclado,Periféricos,1552.96,1
199,2024-10-11,109,Mouse,Periféricos,1420.68,2
200,2024-04-24,294,Mouse,Periféricos,1802.84,5
201,2024-09-08,391,Monitor,Hardware,3954.67,3
202,2024-08-07,830,Teclado,Periféricos,1289.75,2
203,2024-11-12,655,Teclado,Periféricos,2791.82,2
204,2024-07-18,147,Headset,Áudio,538.97,2
205,2024-11-21,848,Headset,Áudio,558.79,1
206,2024-03-04,780,Notebook,Hardware,3636.16,5
207,2024-05-25,14,Notebook,Hardware,3796.74,4
208,2024-04-27,778,Mouse,Periféricos,562.08,2
209,2024-07-12,480,Notebook,Hardware,3023.5,1
210,2024-05-23,576,Teclado,Periféricos,4308.67,5
211,2024-01-23,660,Teclado,Periféricos,4660.99,4
212,2024-05-05,594,Headset,Áudio,3170.3,5
213,2024-10-02,50,Notebook,Hardware,3902.7,5
214,2024-05-31,976,Teclado,Periféricos,2073.02,2
215,2024-12-31,557,Notebook,Hardware,2459.72,2
216,2024-04-20,114,Headset,Áudio,2872.84,4
217,2024-05-18,767,Headset,Áudio,4097.36,4
218,2024-06-08,709,Monitor,Hardware,3326.31,1
219,2024-01-11,749,Teclado,Periféricos,1397.21,5
220,2024-05-13,549,Notebook,Hardware,356.09,2
221,2024-11-27,112,Monitor,Hardware,2798.94,1
222,2024-10-22,250,Headset,Áudio,2382.36,3
223,2024-06-06,552,Headset,Áudio,3013.91,3
224,2024-12-11,316,Notebook,Hardware,3341.63,1
225,2024-05-27,884,Mouse,Periféricos,2412.87,5
226,2024-12-29,56,Monitor,Hardware,1424.16,4
227,2024-07-20,930,Mouse,Periféricos,1486.11,5
228,2024-12-29,335,Notebook,Hardware,3785.41,5
229,2024-08-11,751,Monitor,Hardware,1938.87,3
230,2024-03-28,36,Monitor,Hardware,4636.08,4
231,2024-06-11,282,Teclado,Periféricos,99.39,3
232,2024-06-20,359,Mouse,Periféricos,2378.57,2
233,2024-04-23,289,Monitor,Hardware,527.86,2
234,2024-08-08,385,Teclado,Periféricos,2970.65,3
235,2024-03-09,700,Mouse,Periféricos,2264.04,3
236,2024-07-16,786,Teclado,Periféricos,1336.91,2
237,2024-06-26,659,Notebook,Hardware,2810.83,2
238,2024-02-01,972,Teclado,Periféricos,2955.76,5
239,2024-01-06,489,Notebook,Hardware,1852.08,4
240,2024-08-25,785,Mouse,Periféricos,1007.39,2
241,2024-10-06,162,Headset,Áudio,1416.31,5
242,2024-02-08,232,Teclado,Periféricos,2079.13,4
243,2024-10-01,119,Headset,Áudio,2743.99,3
244,2024-06-29,76,Monitor,Hardware,2027.01,4
245,2024-04-18,935,Teclado,Periféricos,2676.83,1
246,2024-01-18,149,Notebook,Hardware,477.04,1
247,2024-07-05,139,Notebook,Hardware,449.41,2
248,2024-02-02,188,Teclado,Periféricos,3953.81,4
249,2024-08-17,65,Notebook,Hardware,1788.73,5
250,2024-07-12,163,Headset,Áudio,1926.25,1
251,2024-07-23,873,Monitor,Hardware,824.68,3
252,2024-10-18,238,Notebook,Hardware,4020.1,5
253,2024-09-05,292,Notebook,Hardware,690.67,5
254,2024-11-19,574,Monitor,Hardware,3892.76,3
255,2024-02-06,136,Mouse,Periféricos,3096.72,1
256,2024-06-16,997,Monitor,Hardware,4146.25,1
257,2024-10-10,842,Teclado,Periféricos,3700.91,1
258,2024-11-19,442,Teclado,Periféricos,1621.46,4
259,2024-01-21,230,Monitor,Hardware,2173.52,5
260,2024-10-16,116,Mouse,Periféricos,305.63,5
261,2024-08-13,290,Notebook,Hardware,3570.35,4
262,2024-04-17,512,Teclado,Periféricos,1722.43,5
263,2024-05-01,976,Teclado,Periféricos,3399.72,3
264,2024-01-09,716,Mouse,Periféricos,346.42,4
265,2024-09-19,615,Mouse,Periféricos,4507.42,3
266,2024-08-08,728,Teclado,Periféricos,803.95,2
267,2024-08-22,657,Monitor,Hardware,2324.1,5
268,2024-09-26,920,Mouse,Periféricos,1919.43,1
269,2024-11-20,138,Notebook,Hardware,335.1,2
270,2024-12-07,227,Headset,Áudio,2135.43,2
271,2024-04-02,986,Monitor,Hardware,1053.91,3
272,2024-07-04,673,Mouse,Periféricos,1366.71,1
273,2024-09-27,637,Notebook,Hardware,1002.11,2
274,2024-12-18,253,Mouse,Periféricos,1534.95,2
275,2024-07-09,78,Notebook,Hardware,1789.77,2
276,2024-12-30,372,Monitor,Hardware,3036.89,2
277,2024-12-23,942,Notebook,Hardware,3456.91,1
278,2024-10-10,620,Headset,Áudio,4999.73,2
279,2024-12-21,1,Teclado,Periféricos,1139.69,1
280,2024-06-23,977,Teclado,Periféricos,2056.8,5
281,2024-03-17,969,Mouse,Periféricos,4007.41,2
282,2024-01-04,979,Headset,Áudio,3676.43,4
283,2024-03-09,177,Headset,Áudio,1603.48,3
284,2024-07-18,291,Headset,Áudio,3377.44,3
285,2024-01-07,86,Monitor,Hardware,914.18,1
286,2024-05-30,958,Mouse,Periféricos,4370.11,2
287,2024-09-01,47,Teclado,Periféricos,77.52,1
288,2024-07-17,963,Monitor,Hardware,1227.55,3
289,2024-09-15,106,Notebook,Hardware,4633.48,2
290,2024-01-23,504,Monitor,Hardware,2132.68,3
291,2024-09-25,530,Teclado,Periféricos,1388.85,4
292,2024-08-18,110,Mouse,Periféricos,66.03,5
293,2024-06-15,53,Headset,Áudio,3477.21,4
294,2024-05-02,852,Mouse,Periféricos,1210.71,5
295,2024-04-19,67,Headset,Áudio,2059.09,3
296,2024-09-25,741,Teclado,Periféricos,2052.73,5
297,2024-03-24,432,Teclado,Periféricos,4508.75,2
298,2024-08-27,684,Monitor,Hardware,1243.49,3
299,2024-01-17,543,Teclado,Periféricos,200.08,1
300,2024-05-20,960,Mouse,Periféricos,2053.83,4
301,2024-01-10,932,Notebook,Hardware,952.16,2
302,2024-06-10,683,Mouse,Periféricos,1913.61,5
303,2024-02-17,515,Teclado,Periféricos,1956.37,1
304,2024-10-31,347,Notebook,Hardware,3940.11,5
305,2024-01-26,858,Notebook,Hardware,918.05,4
306,2024-06-20,177,Mouse,Periféricos,1682.28,2
307,2024-06-28,525,Teclado,Periféricos,1949.41,1
308,2024-06-29,914,Teclado,Periféricos,3134.92,1
309,2024-03-23,427,Notebook,Hardware,4484.04,3
310,2024-10-15,225,Headset,Áudio,2880.81,5
311,2024-06-19,882,Mouse,Periféricos,1162.31,4
312,2024-11-08,451,Monitor,Hardware,2291.95,5
313,2024-04-23,922,Headset,Áudio,1524.25,5
314,2024-12-21,842,Headset,Áudio,2618.62,4
315,2024-10-18,967,Headset,Áudio,1241.13,1
316,2024-10-01,755,Mouse,Periféricos,941.53,2
317,2024-10-01,503,Teclado,Periféricos,1682.72,5
318,2024-04-28,150,Headset,Áudio,791.06,5
319,2024-10-12,753,Notebook,Hardware,2546.79,4
320,2024-07-12,946,Notebook,Hardware,4965.48,3
321,2024-06-13,126,Notebook,Hardware,790.09,4
322,2024-10-29,747,Notebook,Hardware,1169.98,2
323,2024-06-03,442,Mouse,Periféricos,3019.21,5
324,2024-11-20,626,Teclado,Periféricos,1927.73,1
325,2024-01-01,299,Notebook,Hardware,4831.65,3
326,2024-08-09,641,Headset,Áudio,4717.24,1
327,2024-12-07,290,Headset,Áudio,1781.39,3
328,2024-03-10,464,Teclado,Periféricos,1479.58,1
329,2024-01-27,457,Monitor,Hardware,4313.06,5
330,2024-11-15,93,Mouse,Periféricos,3498.36,2
331,2024-09-03,209,Mouse,Periféricos,1281.61,1
332,2024-04-27,874,Notebook,Hardware,4534.42,2
333,2024-12-03,544,Headset,Áudio,4519.25,4
334,2024-09-16,874,Mouse,Periféricos,1313.48,1
335,2024-08-19,272,Headset,Áudio,3273.84,5
336,2024-05-10,562,Teclado,Periféricos,4450.66,4
337,2024-11-24,618,Teclado,Periféricos,73.07,5
338,2024-07-11,44,Mouse,Periféricos,1435.76,5
339,2024-02-18,835,Notebook,Hardware,4501.35,1
340,2024-09-27,620,Mouse,Periféricos,1334.38,3
341,2024-11-06,317,Notebook,Hardware,452.15,3
342,2024-03-01,511,Notebook,Hardware,4236.36,3
343,2024-01-26,239,Teclado,Periféricos,1612.9,3
344,2024-11-10,814,Notebook,Hardware,2591.54,2
345,2024-05-17,68,Notebook,Hardware,3920.44,4
346,2024-04-17,261,Headset,Áudio,2035.11,4
347,2024-11-17,57,Headset,Áudio,313.84,5
348,2024-12-20,337,Monitor,Hardware,2459.09,5
349,2024-08-11,88,Notebook,Hardware,1718.84,2
350,2024-08-16,440,Headset,Áudio,1652.8,3
351,2024-04-06,66,Monitor,Hardware,2485.64,1
352,2024-05-24,53,Teclado,Periféricos,3824.99,2
353,2024-09-26,683,Mouse,Periféricos,1072.12,1
354,2024-07-23,34,Mouse,Periféricos,4645.89,4
355,2024-12-12,341,Teclado,Periféricos,769.66,1
356,2024-02-19,861,Notebook,Hardware,3438.48,3
357,2024-05-26,442,Notebook,Hardware,100.6,4
358,2024-01-06,78,Mouse,Periféricos,606.35,3
359,2024-09-04,115,Headset,Áudio,2017.04,1
360,2024-05-08,65,Mouse,Periféricos,170.73,1
361,2024-05-31,782,Teclado,Periféricos,1920.83,1
362,2024-11-01,336,Mouse,Periféricos,253.25,2
363,2024-08-30,617,Mouse,Periféricos,3267.94,2
364,2024-09-12,615,Mouse,Periféricos,3877.4,2
365,2024-08-12,606,Teclado,Periféricos,2560.82,4
366,2024-12-31,686,Notebook,Hardware,616.6,4
367,2024-01-22,161,Monitor,Hardware,2650.35,1
368,2024-09-22,949,Monitor,Hardware,1343.8,4
369,2024-06-13,95,Headset,Áudio,2968.96,5
370,2024-07-04,663,Notebook,Hardware,1181.21,3
371,2024-01-07,171,Teclado,Periféricos,2774.76,5
372,2024-07-29,666,Mouse,Periféricos,2287.54,3
373,2024-05-13,630,Headset,Áudio,4129.31,3
374,2024-07-26,150,Monitor,Hardware,2508.3,2
375,2024-01-05,415,Notebook,Hardware,1042.12,2
376,2024-12-20,839,Mouse,Periféricos,673.47,5
377,2024-06-02,807,Monitor,Hardware,3776.72,5
378,2024-07-13,435,Notebook,Hardware,1982.35,5
379,2024-06-24,748,Teclado,Periféricos,1549.42,3
380,2024-10-13,454,Teclado,Periféricos,2899.38,4
381,2024-05-24,108,Teclado,Periféricos,925.07,5
382,2024-04-02,27,Teclado,Periféricos,4172.75,5
383,2024-01-26,281,Mouse,Periféricos,1443.45,2
384,2024-12-26,552,Mouse,Periféricos,1579.23,4
385,2024-05-15,743,Monitor,Hardware,4784.97,4
386,2024-02-20,142,Teclado,Periféricos,4983.1,5
387,2024-07-27,788,Monitor,Hardware,2351.94,5
388,2024-06-14,622,Teclado,Periféricos,2517.49,5
389,2024-02-24,559,Headset,Áudio,1225.42,2
390,2024-01-15,112,Mouse,Periféricos,1015.73,5
391,2024-04-28,335,Monitor,Hardware,4363.55,5
392,2024-01-03,126,Monitor,Hardware,645.95,5
393,2024-02-23,743,Mouse,Periféricos,3634.05,2
394,2024-02-03,521,Notebook,Hardware,2138.59,4
395,2024-09-25,394,Notebook,Hardware,4475.6,4
396,2024-02-09,498,Notebook,Hardware,388.29,5
397,2024-05-06,811,Teclado,Periféricos,4402.8,4
398,2024-05-22,760,Headset,Áudio,4033.55,4
399,2024-01-25,12,Mouse,Periféricos,713.37,2
400,2024-12-29,234,Mouse,Periféricos,800.09,5
401,2024-09-21,26,Mouse,Periféricos,2209.56,2
402,2024-11-10,76,Mouse,Periféricos,2821.41,2
403,2024-03-14,158,Mouse,Periféricos,3721.37,2
404,2024-10-04,902,Teclado,Periféricos,1730.64,5
405,2024-05-29,213,Mouse,Periféricos,918.3,1
406,2024-09-12,946,Headset,Áudio,898.77,5
407,2024-04-03,148,Notebook,Hardware,482.58,3
408,2024-06-29,361,Notebook,Hardware,3631.23,2
409,2024-11-02,935,Teclado,Periféricos,4477.13,1
410,2024-05-01,862,Notebook,Hardware,738.39,5
411,2024-08-29,271,Monitor,Hardware,3947.9,5
412,2024-02-10,605,Mouse,Periféricos,902.95,5
413,2024-11-30,184,Notebook,Hardware,1702.25,3
414,2024-11-22,717,Notebook,Hardware,796.17,5
415,2024-12-06,759,Mouse,Periféricos,391.96,5
416,2024-10-17,930,Notebook,Hardware,2911.63,2
417,2024-05-16,489,Notebook,Hardware,1023.62,2
418,2024-02-19,365,Headset,Áudio,2478.12,4
419,2024-07-25,917,Teclado,Periféricos,1208.45,2
420,2024-04-24,729,Mouse,Periféricos,4168.41,5
421,2024-08-12,314,Mouse,Periféricos,2650.72,4
422,2024-09-30,483,Teclado,Periféricos,1343.94,3
423,2024-07-07,248,Notebook,Hardware,1697.96,2
424,2024-04-07,591,Teclado,Periféricos,2606.59,5
425,2024-08-06,183,Mouse,Periféricos,1768.99,2
426,2024-04-05,139,Notebook,Hardware,4276.19,5
427,2024-03-28,672,Notebook,Hardware,4216.51,2
428,2024-03-13,148,Headset,Áudio,1624.4,4
429,2024-10-28,502,Teclado,Periféricos,662.37,1
430,2024-06-03,75,Headset,Áudio,910.96,1
431,2024-05-09,502,Notebook,Hardware,842.31,1
432,2024-06-19,911,Mouse,Periféricos,3846.08,3
433,2024-08-01,469,Headset,Áudio,3453.84,1
434,2024-02-20,26,Notebook,Hardware,515.44,5
435,2024-03-22,243,Monitor,Hardware,225.06,2
436,2024-06-17,926,Notebook,Hardware,3271.52,5
437,2024-08-22,633,Headset,Áudio,576.46,1
438,2024-09-18,145,Teclado,Periféricos,3113.21,5
439,2024-12-17,634,Headset,Áudio,124.33,3
440,2024-12-03,957,Headset,Áudio,2161.66,3
441,2024-05-08,669,Notebook,Hardware,3373.75,2
442,2024-11-15,701,Mouse,Periféricos,3681.81,4
443,2024-04-18,480,Headset,Áudio,261.45,5
444,2024-02-22,482,Headset,Áudio,1043.25,3
445,2024-06-01,532,Headset,Áudio,2193.46,3
446,2024-01-04,927,Notebook,Hardware,1974.0,2
447,2024-03-19,10,Monitor,Hardware,331.25,2
448,2024-10-24,452,Mouse,Periféricos,1288.05,2
449,2024-11-29,397,Headset,Áudio,2964.52,2
450,2024-02-07,645,Headset,Áudio,2929.36,2
451,2024-09-02,234,Notebook,Hardware,3980.43,4
452,2024-12-23,464,Mouse,Periféricos,4240.62,3
453,2024-10-26,736,Monitor,Hardware,3078.29,4
454,2024-12-25,233,Notebook,Hardware,1716.27,5
455,2024-04-12,596,Notebook,Hardware,698.27,3
456,2024-09-05,344,Monitor,Hardware,2049.44,3
457,2024-08-11,654,Mouse,Periféricos,1523.32,4
458,2024-03-28,825,Teclado,Periféricos,3587.65,2
459,2024-03-21,800,Teclado,Periféricos,1888.76,3
460,2024-08-15,142,Headset,Áudio,2552.12,1
461,2024-07-02,301,Headset,Áudio,3078.74,2
462,2024-03-01,643,Headset,Áudio,561.3,3
463,2024-07-21,797,Mouse,Periféricos,4865.34,3
464,2024-05-16,4,Mouse,Periféricos,1451.88,1
465,2024-04-16,184,Notebook,Hardware,3648.19,3
466,2024-12-11,582,Mouse,Periféricos,73.32,2
467,2024-12-04,798,Notebook,Hardware,775.92,1
468,2024-04-02,926,Mouse,Periféricos,165.13,5
469,2024-03-14,191,Headset,Áudio,1080.0,4
470,2024-04-20,624,Teclado,Periféricos,1037.66,5
471,2024-05-30,162,Notebook,Hardware,1046.71,4
472,2024-01-16,376,Monitor,Hardware,3989.55,1
473,2024-02-21,102,Mouse,Periféricos,783.69,3
474,2024-08-15,120,Teclado,Periféricos,3225.61,1
475,2024-09-24,196,Headset,Áudio,3607.54,1
476,2024-05-03,406,Teclado,Periféricos,1639.7,3
477,2024-10-03,325,Notebook,Hardware,3344.03,1
478,2024-02-10,112,Teclado,Periféricos,735.88,4
479,2024-04-18,169,Mouse,Periféricos,2231.05,3
480,2024-11-25,606,Notebook,Hardware,2308.37,1
481,2024-09-21,170,Monitor,Hardware,2091.53,1
482,2024-09-24,758,Mouse,Periféricos,3911.43,1
483,2024-10-13,25,Teclado,Periféricos,1940.93,3
484,2024-07-27,379,Teclado,Periféricos,4937.0,2
485,2024-04-09,989,Teclado,Periféricos,3252.6,3
486,2024-11-11,739,Monitor,Hardware,110.15,5
487,2024-10-31,526,Mouse,Periféricos,4629.92,2
488,2024-08-14,98,Mouse,Periféricos,193.29,4
489,2024-11-04,207,Teclado,Periféricos,508.1,2
490,2024-05-01,234,Headset,Áudio,595.27,1
491,2024-04-06,70,Monitor,Hardware,4286.05,1
492,2024-05-02,104,Teclado,Periféricos,463.9,1
493,2024-06-11,714,Mouse,Periféricos,803.69,4
494,2024-11-30,887,Headset,Áudio,4484.49,2
